Shipment_ID,Shipment_Date,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_kg,Warehouse_Processing_Hours,Traffic_Level,Weather_Condition,Delivery_Time_Hours
SHP-00023,2025-10-04,South,Rail,Standard,1766,200.88,5.24,Medium,Storm,37.27
SHP-00024,2025-06-10,East,Sea,Standard,1333,190.49,2.23,Medium,Rain,42.39
SHP-00025,2025-11-10,South,Air,Standard,640,552.1,1.87,Low,Clear,7.17
SHP-00026,2025-01-22,East,Road,Standard,2882,78.54,4.92,High,Clear,68.34
SHP-00027,2025-09-10,North,Air,Standard,2717,469.3,2.85,High,Rain,19.73
SHP-00028,2025-08-24,North,Road,Express,2036,39.16,1.54,High,Rain,43.29
SHP-00029,2025-12-11,South,Road,Standard,2683,469.88,5.17,Medium,Storm,68.72
SHP-00030,2025-02-18,East,Rail,Express,1051,74.67,3.45,High,Clear,26.1
SHP-00031,2025-02-28,North,Sea,Standard,2281,123.56,5.21,Low,Clear,74.9
SHP-00032,2025-06-19,East,Sea,Express,1096,81.34,2.95,Medium,Clear,39.99
SHP-00033,2025-07-07,West,Road,Standard,2226,387.23,12.99,Medium,Clear,55.82
SHP-00034,2025-09-28,North,Rail,Standard,2388,245.87,0.83,High,Clear,42.97
SHP-00035,2025-07-09,East,Road,Standard,1905,406.74,12.1,High,Clear,56.75
SHP-00036,2025-06-24,South,Sea,Express,550,271.13,2.09,High,Clear,20.15
SHP-00037,2025-02-20,West,Sea,Standard,2283,174.06,0.87,High,Clear,69.01
SHP-00038,2025-12-30,North,Rail,Standard,528,363.01,3.67,High,Rain,20.54
SHP-00039,2025-02-24,East,Air,Standard,1644,285.86,6.41,Low,Rain,21.01
SHP-00040,2025-09-01,West,Air,Standard,2589,265.26,4.17,High,Clear,22.22
SHP-00041,2025-11-16,West,Rail,Standard,562,167.05,0.71,Medium,Clear,17.68
SHP-00042,2025-05-11,East,Road,Standard,2564,237.33,0.79,Medium,Clear,48.52
SHP-00043,2025-11-03,South,Rail,Standard,2382,194.59,0.94,Low,Rain,42.97
SHP-00044,2025-05-15,East,Air,Standard,650,180.9,1.95,Medium,Clear,12.86
SHP-00045,2025-01-21,West,Air,Standard,1490,263.03,1.07,Medium,Rain,10.41
SHP-00046,2025-11-25,East,Road,Standard,1173,954.63,2.63,Medium,Clear,34.32
SHP-00047,2025-06-16,North,Sea,Express,238,136.19,0.6,Medium,Clear,10.12
SHP-00048,2025-10-01,West,Road,Standard,1038,690.44,2.75,High,Rain,42.48
SHP-00049,2025-03-30,East,Rail,Standard,2987,378.31,4.03,High,Clear,49.73
SHP-00050,2025-11-12,East,Air,Standard,1931,203.31,6.4,Medium,Clear,22.65
SHP-00051,2025-01-14,North,Air,Express,437,92.57,3.63,Medium,Clear,6.14
SHP-00052,2025-08-30,East,Rail,Express,2338,62.76,7.26,Low,Clear,36.59
SHP-00053,2025-09-22,South,Road,Express,1855,164.3,3.63,Medium,Clear,38.62
SHP-00054,2025-12-12,East,Road,Standard,2083,231.95,1.21,Low,Clear,45.46
SHP-00055,2025-02-22,North,Rail,Standard,1804,498.97,2.44,High,Rain,42.46
SHP-00056,2025-12-06,East,Rail,Standard,2514,450.61,1.88,Medium,Rain,52.17
SHP-00057,2025-04-02,West,Road,Standard,2273,195.7,3.31,Low,Rain,55.17
SHP-00058,2025-09-21,North,Air,Standard,436,164.4,0.5,Medium,Clear,5.18
SHP-00059,2025-02-04,West,Rail,Express,1544,196.35,6.85,Medium,Clear,34.18
SHP-00060,2025-07-25,South,Air,Express,902,242.04,4.79,Medium,Clear,11.64
SHP-00061,2025-03-22,West,Air,Express,2760,132.2,3.12,Low,Clear,11.57
SHP-00062,2025-02-19,West,Road,Standard,501,268.19,12.59,High,Clear,27.62
SHP-00063,2025-12-26,East,Road,Standard,2374,252.09,8.98,Low,Storm,59.65
SHP-00064,2025-01-02,East,Air,Standard,1808,256.6,4.5,Low,Clear,15.4
SHP-00065,2025-02-23,West,Rail,Standard,262,605.0,3.21,Low,Storm,15.67
SHP-00066,2025-04-16,South,Air,Express,90,567.08,2.62,Medium,Clear,3.53
SHP-00067,2025-09-17,South,Air,Standard,1195,329.03,2.48,Low,Clear,12.77
SHP-00068,2025-11-06,East,Air,Standard,2391,305.2,1.83,Low,Clear,17.19
SHP-00069,2025-07-10,West,Sea,Standard,649,899.23,1.84,Medium,Clear,27.01
SHP-00070,2025-08-06,West,Rail,Standard,2074,20.0,3.0,Medium,Clear,42.31
SHP-00071,2025-02-13,West,Rail,Express,2638,461.73,6.11,Low,Rain,45.98
SHP-00072,2025-06-11,South,Road,Standard,2080,1043.12,2.97,Medium,Rain,49.2
SHP-00073,2025-07-21,West,Road,Express,1832,188.33,1.02,Medium,Rain,41.64
SHP-00074,2025-09-27,North,Rail,Standard,1901,303.66,2.53,Low,Clear,33.61
SHP-00075,2025-12-17,East,Road,Standard,2548,232.85,1.47,Medium,Storm,61.03
SHP-00076,2025-10-31,North,Sea,Express,1829,290.44,7.95,Low,Rain,54.59
SHP-00077,2025-09-28,South,Rail,Standard,2887,479.97,0.5,Low,Clear,47.39
SHP-00078,2025-08-03,South,Rail,Express,2431,652.98,3.18,Medium,Rain,38.11
SHP-00079,2025-09-09,South,Road,Standard,1954,202.0,1.36,Low,Clear,38.19
SHP-00080,2025-07-09,East,Road,Standard,2988,430.71,2.62,Low,Clear,58.43
SHP-00081,2025-10-23,South,Road,Standard,2141,468.15,3.15,Medium,Clear,45.36
SHP-00082,2025-08-01,South,Road,Express,193,192.66,5.41,High,Clear,12.71
SHP-00083,2025-07-27,North,Road,Standard,382,310.88,2.31,Medium,Clear,13.68
SHP-00084,2025-08-25,South,Rail,Express,1047,333.03,3.08,High,Clear,26.26
SHP-00085,2025-12-04,North,Sea,Standard,1469,53.04,6.88,High,Rain,58.88
SHP-00086,2025-02-22,North,Sea,Standard,104,355.49,6.87,High,Storm,17.95
SHP-00087,2025-10-07,East,Air,Standard,1380,37.0,10.73,High,Storm,28.95
SHP-00088,2025-08-05,East,Road,Standard,2967,406.62,1.55,Medium,Clear,63.67
SHP-00089,2025-09-09,East,Sea,Standard,1496,305.8,10.84,Medium,Clear,57.35
SHP-00090,2025-07-07,South,Sea,Express,1490,483.03,2.51,Low,Clear,47.0
SHP-00091,2025-02-10,South,Road,Standard,2894,20.0,7.8,Medium,Rain,67.57
SHP-00092,2025-06-06,West,Air,Standard,2422,494.65,5.26,High,Clear,24.35
SHP-00093,2025-01-15,East,Road,Standard,1783,462.77,2.22,Medium,Clear,37.05
SHP-00094,2025-10-28,South,Air,Standard,1744,697.62,9.52,Medium,Rain,21.77
SHP-00095,2025-03-06,North,Sea,Standard,129,58.13,7.28,Medium,Clear,19.76
SHP-00096,2025-12-11,South,Road,Standard,1034,381.21,1.17,Medium,Clear,31.0
SHP-00097,2025-11-23,South,Sea,Standard,2655,36.02,2.35,Medium,Rain,88.73
SHP-00098,2025-01-09,South,Rail,Standard,914,368.35,4.82,Medium,Clear,25.34
SHP-00099,2025-12-10,East,Sea,Standard,2814,517.35,1.01,Medium,Clear,93.9
SHP-00100,2025-05-09,East,Rail,Standard,1637,129.79,2.92,Medium,Clear,38.52
SHP-00101,2025-05-16,East,Air,Standard,521,199.36,6.11,High,Clear,16.23
SHP-00102,2025-03-04,West,Road,Standard,2171,247.75,2.92,High,Clear,48.43
SHP-00103,2025-05-19,West,Road,Standard,1626,61.01,3.63,Low,Rain,38.37
SHP-00104,2025-03-22,East,Road,Express,1552,350.63,5.82,High,Clear,49.4
SHP-00105,2025-06-12,West,Sea,Express,638,38.77,4.18,Medium,Rain,22.01
SHP-00106,2025-10-16,North,Air,Express,1460,206.38,2.9,Medium,Clear,8.94
SHP-00107,2025-09-18,North,Sea,Standard,1955,712.1,7.72,Medium,Clear,64.48
SHP-00108,2025-08-19,North,Sea,Express,613,279.85,3.39,Medium,Rain,25.85
SHP-00109,2025-02-10,East,Road,Express,516,78.85,3.15,Low,Rain,12.75
SHP-00110,2025-01-28,West,Road,Express,648,102.14,7.63,Medium,Clear,20.63
SHP-00111,2025-05-15,North,Road,Standard,1694,50.98,4.29,Medium,Storm,40.24
SHP-00112,2025-07-20,West,Road,Standard,1041,370.21,1.4,Medium,Clear,28.69
SHP-00113,2025-11-24,North,Road,Express,1982,80.79,1.54,Medium,Clear,43.98
SHP-00114,2025-09-25,West,Rail,Standard,2834,434.7,1.87,Medium,Rain,49.69
SHP-00115,2025-02-02,South,Road,Standard,2345,275.14,5.99,Medium,Clear,53.64
SHP-00116,2025-02-17,North,Road,Standard,1654,35.87,5.59,High,Clear,42.83
SHP-00117,2025-03-03,South,Road,Standard,116,39.02,3.59,Medium,Clear,11.9
SHP-00118,2025-08-04,North,Road,Standard,2670,113.49,1.55,Low,Clear,54.26
SHP-00119,2025-10-20,South,Sea,Standard,2800,213.52,2.46,Medium,Clear,90.97
SHP-00120,2025-04-09,South,Air,Standard,519,538.48,7.16,Medium,Clear,18.11
SHP-00121,2025-06-21,West,Sea,Standard,2590,336.98,2.85,Medium,Clear,80.5
SHP-00122,2025-12-26,East,Road,Standard,1774,388.48,2.77,Low,Clear,39.49
SHP-00123,2025-08-02,South,Road,Standard,2760,193.47,1.98,Medium,Clear,61.16
SHP-00124,2025-02-04,East,Air,Standard,2383,51.6,6.11,High,Clear,18.34
SHP-00125,2025-08-15,East,Road,Standard,1681,360.96,1.77,Medium,Clear,33.52
SHP-00126,2025-04-11,South,Road,Express,2409,259.25,5.12,Medium,Storm,58.21
SHP-00127,2025-05-11,South,Road,Standard,2406,155.88,2.24,High,Rain,58.65
SHP-00128,2025-09-14,North,Road,Standard,824,253.06,4.51,High,Rain,27.58
SHP-00129,2025-01-05,North,Road,Standard,1186,136.51,3.82,Medium,Clear,28.9
SHP-00130,2025-08-06,East,Road,Express,2061,139.07,3.04,Medium,Clear,41.68
SHP-00131,2025-09-12,North,Air,Standard,2553,323.23,2.52,High,Clear,17.28
SHP-00132,2025-12-25,East,Road,Standard,1536,348.88,4.08,Medium,Rain,42.59
SHP-00133,2025-10-10,East,Road,Standard,181,51.63,3.79,Low,Clear,8.17
SHP-00134,2025-07-26,North,Air,Standard,979,202.65,2.06,Low,Rain,10.82
SHP-00135,2025-01-15,East,Road,Express,978,168.48,6.55,Medium,Storm,30.23
SHP-00136,2025-12-12,North,Road,Express,2218,629.03,5.67,High,Clear,47.16
SHP-00137,2025-02-11,West,Sea,Standard,1270,421.44,1.58,Low,Clear,45.51
SHP-00138,2025-06-28,South,Road,Standard,1555,389.81,1.73,Low,Clear,33.6
SHP-00139,2025-03-04,West,Road,Standard,683,150.42,0.66,High,Clear,23.0
SHP-00140,2025-12-18,East,Rail,Standard,2994,94.89,5.33,High,Clear,52.39
SHP-00141,2025-08-19,North,Road,Standard,2869,129.11,2.6,Low,Rain,58.58
SHP-00142,2025-08-29,East,Rail,Standard,1112,512.98,3.2,Medium,Clear,28.32
SHP-00143,2025-02-21,West,Air,Standard,2663,86.86,1.68,Medium,Clear,24.33
SHP-00144,2025-04-06,East,Road,Standard,2609,795.03,3.2,Medium,Clear,52.1
SHP-00145,2025-08-10,West,Rail,Express,1234,265.37,3.94,High,Storm,32.68
SHP-00146,2025-08-19,West,Rail,Standard,338,759.56,1.12,Low,Rain,14.84
SHP-00147,2025-08-25,North,Road,Express,2297,520.28,3.88,Low,Storm,51.11
SHP-00148,2025-05-23,North,Rail,Express,1861,37.9,3.75,Low,Storm,39.5
SHP-00149,2025-06-20,East,Road,Standard,577,138.45,7.41,Low,Clear,19.16
SHP-00150,2025-01-29,South,Rail,Express,966,324.01,4.04,Low,Clear,19.78
SHP-00151,2025-02-05,West,Road,Standard,1758,155.2,1.54,Low,Clear,36.59
SHP-00152,2025-01-13,West,Rail,Standard,1456,374.22,1.65,High,Clear,35.56
SHP-00153,2025-06-09,South,Road,Standard,1291,1016.05,3.71,Low,Rain,32.75
SHP-00154,2025-11-23,North,Air,Express,1160,701.37,2.55,High,Clear,11.78
SHP-00155,2025-07-06,West,Road,Standard,848,154.25,5.07,Medium,Clear,28.59
SHP-00156,2025-08-31,South,Road,Standard,1573,834.42,1.08,Medium,Clear,34.08
SHP-00157,2025-03-27,West,Rail,Express,61,174.55,5.47,Low,Clear,7.24
SHP-00158,2025-10-11,South,Air,Standard,882,226.99,3.63,Low,Rain,7.54
SHP-00159,2025-03-07,East,Rail,Standard,2938,341.55,7.53,Medium,Clear,51.87
SHP-00160,2025-06-19,North,Air,Express,2740,268.68,2.98,Medium,Rain,17.92
SHP-00161,2025-02-14,East,Air,Express,1291,677.79,1.59,High,Clear,10.54
SHP-00162,2025-03-03,South,Sea,Express,1722,791.61,1.47,High,Clear,56.36
SHP-00163,2025-05-14,East,Road,Express,2203,375.57,4.04,Medium,Rain,51.13
SHP-00164,2025-10-11,North,Rail,Standard,740,71.01,1.24,Medium,Storm,21.87
SHP-00165,2025-01-28,East,Air,Express,577,687.21,10.78,High,Clear,20.51
SHP-00166,2025-04-18,West,Sea,Standard,1545,701.36,2.9,Medium,Clear,54.32
SHP-00167,2025-02-13,North,Sea,Standard,2943,258.13,8.03,High,Clear,100.8
SHP-00168,2025-12-06,North,Road,Standard,942,53.43,0.83,High,Clear,30.55
SHP-00169,2025-10-13,North,Road,Standard,436,51.11,0.5,Low,Rain,15.84
SHP-00170,2025-11-27,East,Rail,Express,1299,93.07,1.88,Medium,Clear,28.72
SHP-00171,2025-05-08,East,Air,Express,2578,241.12,4.2,Medium,Rain,20.84
SHP-00172,2025-12-14,East,Rail,Standard,1827,665.8,3.49,Medium,Rain,37.15
SHP-00173,2025-08-19,North,Rail,Standard,457,489.11,2.1,Medium,Clear,18.72
SHP-00174,2025-07-09,South,Air,Standard,1726,542.9,4.16,High,Clear,19.98
SHP-00175,2025-08-13,East,Road,Express,947,376.6,2.71,Low,Clear,21.13
SHP-00176,2025-10-10,South,Sea,Express,760,303.72,1.28,Low,Clear,25.97
SHP-00177,2025-05-01,West,Road,Standard,2736,297.55,8.77,Low,Clear,64.91
SHP-00178,2025-04-26,North,Road,Standard,1732,105.18,0.5,Medium,Clear,39.39
SHP-00179,2025-08-21,East,Rail,Standard,2912,111.83,3.83,Medium,Rain,59.11
SHP-00180,2025-09-16,South,Air,Standard,967,210.77,3.35,Medium,Clear,15.81
SHP-00181,2025-12-25,South,Road,Express,2300,185.26,3.4,Medium,Rain,51.72
SHP-00182,2025-07-17,East,Road,Standard,466,298.29,6.2,Low,Clear,15.99
SHP-00183,2025-05-17,East,Sea,Standard,465,578.8,1.44,Low,Rain,22.19
SHP-00184,2025-11-14,West,Road,Standard,1521,111.61,1.38,Medium,Storm,41.37
SHP-00185,2025-06-14,North,Rail,Standard,1585,205.16,6.21,Medium,Clear,35.7
SHP-00186,2025-08-13,North,Rail,Express,134,458.39,4.78,Medium,Rain,13.1
SHP-00187,2025-11-03,East,Rail,Standard,216,449.73,7.75,High,Clear,20.08
SHP-00188,2025-08-22,East,Rail,Standard,2481,328.8,2.81,High,Rain,50.4
SHP-00189,2025-06-21,South,Road,Standard,2565,321.13,2.75,Low,Rain,58.34
SHP-00190,2025-06-01,North,Rail,Standard,1145,257.84,5.81,Medium,Clear,24.53
SHP-00191,2025-11-11,North,Road,Standard,859,283.01,7.08,Medium,Clear,32.44
SHP-00192,2025-06-09,West,Air,Express,1594,841.49,1.29,High,Clear,7.7
SHP-00193,2025-04-06,North,Road,Standard,1866,84.97,10.42,High,Clear,55.24
SHP-00194,2025-08-21,South,Rail,Standard,2570,243.05,2.34,Low,Storm,49.7
SHP-00195,2025-06-29,North,Road,Standard,1042,125.06,3.81,Low,Rain,31.5
SHP-00196,2025-04-23,South,Road,Standard,1331,422.89,4.73,Medium,Clear,35.97
SHP-00197,2025-11-14,North,Road,Standard,324,273.99,6.31,Medium,Rain,20.07
SHP-00198,2025-02-21,East,Road,Standard,1823,189.41,5.22,Medium,Rain,48.01
SHP-00199,2025-09-25,North,Air,Express,2587,231.04,3.46,Low,Clear,15.49
SHP-00200,2025-10-22,West,Road,Express,1806,433.08,5.19,Medium,Clear,39.69
SHP-00201,2025-04-23,North,Sea,Standard,2423,215.14,2.53,Low,Clear,79.05
SHP-00202,2025-04-11,East,Sea,Standard,2626,391.28,2.19,Low,Rain,81.5
SHP-00203,2025-04-23,West,Rail,Standard,941,213.03,3.38,Low,Rain,23.08
SHP-00204,2025-03-22,East,Road,Standard,138,692.21,6.86,Medium,Clear,18.2
SHP-00205,2025-07-06,East,Road,Express,2583,682.4,4.66,Medium,Clear,58.47
SHP-00206,2025-04-23,South,Air,Standard,757,188.62,2.38,Medium,Rain,14.47
SHP-00207,2025-01-02,South,Road,Standard,2447,241.08,3.1,Low,Storm,57.0
SHP-00208,2025-05-10,East,Road,Express,436,110.29,5.99,Low,Rain,19.78
SHP-00209,2025-08-08,West,Rail,Express,2184,492.25,3.93,Low,Clear,34.68
SHP-00210,2025-02-23,East,Air,Standard,2404,487.36,3.62,Medium,Clear,23.71
SHP-00211,2025-12-09,East,Air,Standard,1923,238.7,3.67,Low,Clear,14.77
SHP-00212,2025-08-12,East,Road,Standard,1227,430.45,1.35,Medium,Clear,26.35
SHP-00213,2025-08-13,South,Air,Standard,489,216.03,0.71,Low,Rain,5.9
SHP-00214,2025-05-06,North,Road,Express,2837,231.22,6.43,Low,Clear,58.38
SHP-00215,2025-05-10,East,Road,Express,2361,475.05,3.36,Low,Rain,51.08
SHP-00216,2025-02-22,West,Sea,Express,1026,133.07,3.74,Low,Clear,40.03
SHP-00217,2025-06-21,North,Road,Standard,784,341.74,2.44,Medium,Rain,21.48
SHP-00218,2025-08-06,East,Road,Express,2518,151.38,7.83,Medium,Clear,56.0
SHP-00219,2025-06-09,North,Road,Standard,2590,791.3,2.29,High,Clear,55.82
SHP-00220,2025-07-17,East,Sea,Standard,682,255.9,2.7,Low,Clear,25.92
SHP-00221,2025-09-04,North,Air,Standard,1042,235.3,6.35,Low,Clear,18.14
SHP-00222,2025-11-20,South,Rail,Standard,2508,226.41,2.34,Medium,Storm,47.01
SHP-00223,2025-07-22,East,Air,Express,222,104.07,3.77,High,Clear,12.48
SHP-00224,2025-07-03,South,Road,Standard,53,93.44,1.14,Medium,Clear,9.64
SHP-00225,2025-05-03,East,Rail,Standard,2951,607.19,1.7,Medium,Rain,53.27
SHP-00226,2025-09-12,West,Road,Standard,1713,127.19,0.99,Medium,Rain,41.94
SHP-00227,2025-10-21,West,Road,Standard,2065,175.16,3.47,Low,Clear,41.73
SHP-00228,2025-10-07,North,Rail,Standard,1545,249.21,3.63,High,Storm,45.14
SHP-00229,2025-11-21,South,Sea,Standard,1110,258.58,3.77,Medium,Clear,47.2
SHP-00230,2025-04-08,North,Road,Express,2680,275.17,2.76,High,Clear,57.35
SHP-00231,2025-07-17,West,Road,Standard,1104,389.99,2.87,Medium,Clear,36.38
SHP-00232,2025-08-28,West,Road,Standard,430,608.73,2.04,Medium,Clear,15.36
SHP-00233,2025-05-24,East,Road,Standard,1341,254.57,2.52,Low,Clear,33.35
SHP-00234,2025-04-07,West,Sea,Express,2441,59.92,1.19,Medium,Clear,78.32
SHP-00235,2025-07-20,East,Rail,Standard,1642,370.07,4.16,Low,Clear,31.26
SHP-00236,2025-05-04,East,Rail,Standard,215,258.97,5.38,Medium,Rain,12.35
SHP-00237,2025-07-06,North,Air,Standard,2797,197.58,2.94,Medium,Clear,12.99
SHP-00238,2025-11-22,East,Road,Standard,2439,169.24,2.88,High,Storm,68.94
SHP-00239,2025-12-15,North,Rail,Standard,1092,677.93,3.48,Medium,Rain,25.64
SHP-00240,2025-09-16,West,Road,Express,1701,248.91,7.7,Medium,Clear,39.82
SHP-00241,2025-05-28,West,Rail,Standard,1257,133.09,3.11,Low,Clear,21.95
SHP-00242,2025-09-09,East,Sea,Standard,594,345.92,3.29,Medium,Clear,29.8
SHP-00243,2025-12-12,North,Air,Express,2289,562.12,12.84,Low,Rain,19.26
SHP-00244,2025-05-27,South,Road,Standard,2417,109.54,2.81,Medium,Clear,51.24
SHP-00245,2025-05-28,North,Air,Standard,2677,602.09,4.09,High,Clear,22.79
SHP-00246,2025-12-18,South,Road,Standard,2572,79.75,3.98,Low,Storm,57.68
SHP-00247,2025-07-18,North,Road,Standard,2734,293.93,2.56,Low,Clear,56.03
SHP-00248,2025-11-04,West,Road,Standard,2524,438.87,4.26,Medium,Clear,60.25
SHP-00249,2025-05-08,East,Road,Standard,146,148.74,1.05,High,Clear,14.95
SHP-00250,2025-02-08,South,Rail,Express,2593,94.07,2.87,Medium,Rain,45.23
SHP-00251,2025-12-04,South,Rail,Express,2758,187.62,1.67,Low,Rain,45.58
SHP-00252,2025-12-26,South,Sea,Standard,1351,626.04,4.33,High,Clear,51.12
SHP-00253,2025-05-09,East,Rail,Standard,2106,356.85,0.91,High,Clear,47.29
SHP-00254,2025-09-24,East,Rail,Standard,506,83.76,4.93,Low,Rain,16.12
SHP-00255,2025-05-31,West,Road,Express,1868,792.18,0.5,High,Rain,44.46
SHP-00256,2025-10-25,South,Road,Standard,322,171.97,4.16,Medium,Rain,18.08
SHP-00257,2025-04-09,West,Rail,Standard,1081,315.43,1.46,Medium,Clear,26.34
SHP-00258,2025-09-20,West,Road,Express,257,440.51,2.11,Medium,Storm,19.53
SHP-00259,2025-09-09,North,Air,Express,1987,426.04,2.77,High,Clear,15.24
SHP-00260,2025-05-24,West,Road,Express,1710,186.83,8.04,Medium,Clear,41.57
SHP-00261,2025-12-12,North,Road,Standard,1196,349.88,1.45,Low,Rain,30.84
SHP-00262,2025-04-22,West,Road,Express,1106,333.13,3.19,High,Clear,22.48
SHP-00263,2025-03-01,South,Road,Express,1586,282.22,6.71,Low,Rain,33.53
SHP-00264,2025-01-02,West,Road,Standard,253,786.72,3.29,Medium,Clear,12.73
SHP-00265,2025-10-31,West,Air,Standard,2615,148.41,4.56,Medium,Rain,18.97
SHP-00266,2025-09-11,West,Road,Standard,1882,117.38,6.15,Low,Clear,40.21
SHP-00267,2025-05-20,West,Rail,Express,2614,358.07,2.07,Low,Rain,45.48
SHP-00268,2025-02-06,South,Road,Standard,492,364.48,2.26,High,Clear,20.69
SHP-00269,2025-06-09,North,Road,Standard,738,418.42,1.43,Medium,Clear,20.47
SHP-00270,2025-01-09,South,Road,Standard,2947,99.03,6.76,Medium,Rain,63.53
SHP-00271,2025-08-21,North,Air,Express,882,382.6,8.8,Medium,Clear,12.98
SHP-00272,2025-04-09,East,Road,Standard,2436,47.73,1.13,Medium,Clear,44.33
SHP-00273,2025-05-27,South,Air,Standard,1511,196.89,3.87,Medium,Clear,14.25
SHP-00274,2025-10-31,West,Road,Standard,1209,129.9,2.09,Low,Rain,30.73
SHP-00275,2025-07-27,East,Air,Express,436,597.0,2.18,Medium,Clear,8.71
SHP-00276,2025-05-11,West,Road,Standard,2091,115.71,4.72,High,Clear,46.34
SHP-00277,2025-06-01,North,Air,Standard,2603,345.81,3.37,Medium,Clear,18.4
SHP-00278,2025-02-23,West,Rail,Express,1398,44.7,4.45,Low,Storm,28.05
SHP-00279,2025-04-30,West,Sea,Standard,1768,67.44,8.65,High,Clear,63.97
SHP-00280,2025-06-10,South,Road,Express,729,165.11,4.0,High,Clear,25.16
SHP-00281,2025-04-26,East,Road,Standard,739,83.31,4.83,Low,Rain,30.73
SHP-00282,2025-03-16,West,Road,Standard,2982,248.06,6.0,High,Rain,70.54
SHP-00283,2025-04-23,North,Air,Standard,1618,228.44,1.94,Medium,Clear,10.74
SHP-00284,2025-04-14,South,Rail,Standard,2720,106.01,5.12,Low,Storm,54.42
SHP-00285,2025-12-06,South,Air,Standard,1219,280.17,2.14,Low,Clear,13.91
SHP-00286,2025-09-11,North,Road,Standard,942,47.72,1.22,Medium,Clear,25.98
SHP-00287,2025-08-15,South,Road,Express,1002,884.25,4.22,High,Clear,37.44
SHP-00288,2025-04-22,North,Road,Standard,1304,556.41,1.34,Low,Rain,29.9
SHP-00289,2025-04-09,North,Sea,Standard,833,134.78,3.38,Low,Clear,31.79
SHP-00290,2025-06-02,North,Air,Standard,2096,451.49,2.88,Medium,Clear,20.47
SHP-00291,2025-12-15,West,Sea,Express,1921,321.05,7.33,Medium,Clear,68.62
SHP-00292,2025-12-04,East,Road,Standard,544,322.59,1.33,Low,Rain,13.02
SHP-00293,2025-07-13,West,Rail,Standard,796,102.63,4.01,Low,Clear,19.32
SHP-00294,2025-11-06,South,Air,Standard,2534,99.21,1.8,Medium,Clear,20.9
SHP-00295,2025-06-12,South,Road,Standard,1904,124.09,0.91,High,Clear,53.66
SHP-00296,2025-07-27,South,Air,Standard,2442,351.2,0.56,Medium,Rain,19.7
SHP-00297,2025-06-18,South,Sea,Express,2647,168.87,1.37,Medium,Rain,81.31
SHP-00298,2025-06-10,North,Sea,Standard,2917,108.26,1.32,Medium,Clear,87.47
SHP-00299,2025-03-09,East,Air,Express,2638,518.84,0.59,Medium,Rain,22.67
SHP-00300,2025-10-16,North,Road,Standard,2241,104.05,5.56,High,Clear,56.26
SHP-00301,2025-10-04,East,Road,Standard,2685,312.36,6.48,High,Rain,63.6
SHP-00302,2025-10-31,East,Sea,Express,706,139.68,1.88,Low,Clear,23.68
SHP-00303,2025-05-15,North,Road,Standard,1932,69.1,2.39,Medium,Clear,43.95
SHP-00304,2025-07-14,North,Air,Express,2442,551.12,2.74,Medium,Storm,21.65
SHP-00305,2025-05-08,West,Air,Standard,2793,94.03,6.0,Medium,Storm,23.55
SHP-00306,2025-02-02,South,Rail,Express,1846,574.98,6.07,Medium,Clear,33.44
